date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:22	559/559	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-22f%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/image-effects/image-effects.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/image-effects/image-effects.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:23	34711/34711	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-8797%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.css	(from https://horizon.ancorathemes.com/)
03:52:23	22535/22535	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-5807%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/api/woocommerce/woocommerce.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:23	2686/2686	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-a7e%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/content/content.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/content/content.css	(from https://horizon.ancorathemes.com/)
03:52:24	10840/10840	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-2a58%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/content/content.responsive.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/content/content.responsive.css	(from https://horizon.ancorathemes.com/)
03:52:24	94176/94176	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-16fe0%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.animations.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/css/trx_addons.animations.css	(from https://horizon.ancorathemes.com/)
03:52:24	12926/12926	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-327e%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/mouse-helper/mouse-helper.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/addons/mouse-helper/mouse-helper.css	(from https://horizon.ancorathemes.com/)
03:52:25	59003/59003	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-e67b%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/cpt/services/services.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/cpt/services/services.css	(from https://horizon.ancorathemes.com/)
03:52:25	184/184	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-b8%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/cover/cover.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/cover/cover.css	(from https://horizon.ancorathemes.com/)
03:52:25	8072/8072	---MCZ	200	added ('OK')	text/css	etag:W/%2266547b0e-1f88%22	https://horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/icons/icons.css	D:/New%20folder/https___horizon.ancorathemes.com/horizon.ancorathemes.com/wp-content/plugins/trx_addons/components/shortcodes/icons/icons.css	(from https://horizon.ancorathemes.com/)
